title,description,url,publishedAt
With Trump's tariffs looming - will countries scramble to cut deals?,US steel suppliers have just over a month to decide how to respond before the new tariffs take effect.,https://www.bbc.com/news/articles/cqx977lrdl1o,2025-02-11T08:23:04Z
China woos Bangladesh in Beijing trip,The trip marks China's latest overture as tensions rise between Bangladesh and India.,https://www.bbc.com/news/articles/c9q47qleey8o,2025-02-25T03:36:12Z
Cómo de preocupados deberíamos estar porque la corteza terrestre se esté resquebrajando,"La geografía de la India está muy influida por la placa tectónica asociada a este subcontinente. Esto es notable en lugares como el Himalaya, fruto del choque entre esta placa y la eurasiática. Sin embargo las dinámicas cambian y las placas pueden desintegrar…",https://www.xataka.com/ecologia-y-naturaleza/como-de-preocupados-deberiamos-estar-porque-la-corteza-terrestre-se-este-resquebrajando,2025-02-26T16:15:56Z
Apple lleva años fabricando el grueso del iPhone en China. Ahora quiere irse... y China impedirlo,"Apple está acelerando su plan de diversificación de la producción del iPhone fuera de China... con India como principal destino alternativo. Es una historia que viene de lejos pero que ahora pisa el acelerador.
<!-- BREAK 1 -->
Según revela Financial Times en…",https://www.xataka.com/empresas-y-economia/apple-acelera-su-plan-exodo-china-gobierno-chino-trata-impedirlo,2025-02-19T12:30:03Z
Trump 'strongly considering' large-scale sanctions and tariffs on Russia,The president has reversed US policy and says he trusts Putin and finds dealing with Ukraine difficult.,https://www.bbc.com/news/articles/c36wkpy3497o,2025-03-07T19:14:20Z
'McCullum's problems go far beyond Buttler's future',England head coach Brendon McCullum faces bigger problems than Jos Buttler's future following a frustrating Champions Trophy campaign.,https://www.bbc.com/sport/cricket/articles/cp9yy25dg5yo,2025-02-27T11:21:54Z
Hair: 'It’s just thrown away but it's gold',India is the world's biggest exporter of human hair but it wants more of the lucrative wig market.,https://www.bbc.com/news/articles/c2dl93l7w2go,2025-02-17T22:27:15Z
"Samsung is rolling out its One UI 7 beta for the Galaxy Z Flip 6, Fold 6",Samsung finally starts rolling out its One UI 7 beta for its foldables.,https://www.androidcentral.com/phones/samsung-galaxy-z-flip-6-fold-6-one-ui-7-beta-rollout,2025-03-07T19:32:59Z
"China deliberately hampering iPhone production in India in three ways, say reports","Apple’s plan to boost iPhone production in India from an estimated 15% of global production today to 25% by 2027 is being deliberately hampered by the Chinese government, according to new reports.



China is reportedly using a mix of three measures to make i…",https://9to5mac.com/2025/02/18/china-deliberately-hampering-iphone-production-in-india-in-three-ways-say-reports/,2025-02-18T14:12:44Z
India seen seeking global bids this year for 114 fighters,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_5366b143-1fac-4bbd-aaa0-88bcd626eb82,2025-02-14T11:12:59Z
"Four dead from India avalanche, five still missing: army","At least four people died from their injuries after an avalanche hit a remote border area in India, officials said Saturday, as rescuers battled sub-zero...",https://www.yahoo.com/news/four-dead-india-avalanche-five-155956521.html,2025-03-01T15:59:56Z
Apple Now Lets You Move Purchases Between Your 25 Years of Accounts,"An anonymous reader quotes a report from Ars Technica: Last night, Apple posted a new support document about migrating purchases between accounts, something that Apple users with long online histories have been waiting on for years, if not decades. If you hav…",https://apple.slashdot.org/story/25/02/12/2110211/apple-now-lets-you-move-purchases-between-your-25-years-of-accounts,2025-02-12T21:10:00Z
Research Reveals Data on Which Institutions Are Retraction Hotspots,"Chinese hospitals dominate a first-ever analysis of scientific paper retractions worldwide, with some institutions having retraction rates 50 times higher than the global average, according to data published in Nature. 

Jining First People's Hospital in Shan…",https://science.slashdot.org/story/25/02/20/1230236/research-reveals-data-on-which-institutions-are-retraction-hotspots,2025-02-20T16:40:00Z
The Vivo V50 shows even budget devices can have big batteries,"The Vivo V50 is now officially available in India and several other markets, although it's unclear whether it will come to western markets.",https://www.digitaltrends.com/mobile/vivo-v50-shows-even-budget-devices-can-have-big-batteries/,2025-02-17T15:35:59Z
Technicolor Begins To Shut Down Operations,"Technicolor Group has filed for a court recovery procedure in France after failing to secure new investors, putting its VFX brands, including MPC, The Mill, Mikros Animation, and Technicolor Games, at risk of closure. Variety reports: A total shutdown of MPC …",https://tech.slashdot.org/story/25/02/27/2134206/technicolor-begins-to-shut-down-operations,2025-02-27T23:00:00Z
A Visit to Madam Bedi: A Personal History by Tara Westover,"The author of the best-selling memoir “Educated,” about growing up in a survivalist family in Idaho, writes about a trip to India and the bond she forms there with a friend’s mother.",https://www.newyorker.com/magazine/2025/02/17/a-visit-to-madam-bedi,2025-02-10T11:00:00Z
Researcher Captures Contents of 'DEI.gov' Before It Was Hidden Behind a Password,"The list includes budget claims like ""$3.4 million for Malaysian drug-fueled gay sex app"" and ""Disbursed $15,000 to 'queer' Muslim writers in India.""",https://www.404media.co/dei-waste-gov-doge-list-behind-password/,2025-02-14T20:49:14Z
China fighting to stop Apple's supply chain exodus to India,"Apple's diversification of its supply chain to India is worrying China, which has worked to make it harder for Apple to expand its production lines in the developing economy.Apple CEO Tim Cook on a visit to India - Image Credit: AppleApple is midway through a…",https://appleinsider.com/articles/25/02/18/china-fighting-to-stop-apples-supply-chain-exodus-to-india,2025-02-18T15:56:11Z
I landed my job at Tesla after over a year of job applications and rejection. Being an international student made things especially tough.,Dhruv Loya came to the US as an international student. It took hundreds of applications before he was able to land a job in the country at Tesla.,https://www.businessinsider.com/student-find-job-tesla-visa2025-2,2025-02-11T10:28:44Z
Harrison Ford transforms into the Red Hulk in 'Captain America: Brave New World.' Here's how and why.,"Harrison Ford's character becomes the Red Hulk in ""Captain America: Brave New World,"" although the reveal plays out differently in the comics.",https://www.businessinsider.com/harrison-ford-red-hulk-captain-america-brave-new-world-2025-2,2025-02-13T16:22:52Z
Did Iron Age 'begin' in India? Tamil Nadu dig sparks debate,"Tamil Nadu’s iron artefacts may predate Turkey's Anatolia, reshaping early Iron Age history.",https://www.bbc.com/news/articles/c62e36jm4jro,2025-02-26T22:32:33Z
"Trade, tariffs and visas to dominate Trump-Modi talks","The leaders share a warm relationship, but both will have their own wish list when they meet this week.",https://www.bbc.com/news/articles/cj91d3jkpvlo,2025-02-12T00:08:39Z
La otra carrera de la IA: la que China ha emprendido tras el éxito viral de DeepSeek,China se está contagiando de la fiebre por la IA. El detonante ha sido el lanzamiento de los modelos de IA de DeepSeek que han logrado generar una expectación masiva. Tanto es así que las empresas tecnologicas chinas están logrando captar inversiones colosale…,https://www.xataka.com/robotica-e-ia/otra-carrera-ia-que-china-ha-emprendido-exito-viral-deepseek,2025-02-20T12:01:57Z
Ed Sheeran stopped from busking in Bengaluru by Indian police,"Sheeran says it was a planned performance, but police say they refused permission to prevent congestion.",https://www.bbc.com/news/articles/cvg8lnnge8po,2025-02-10T06:23:44Z
POCO X7 Pro review: Redefining budget phones all over again,"With meaningful upgrades and a massive battery, the X7 Pro solidifies its position as one of the best budget phones of 2025.",https://www.androidcentral.com/phones/poco-x7-pro-review,2025-02-12T07:54:20Z
"Quizás no la conozcas, pero esta mezcla de 'Mad Max' y cine de superhéroes es uno de los taquillazos de 2024 y está en Netflix","El continente asiático y sus grandes potencias audiovisuales (Corea del Sur, China, Japón, India) forman un microcosmos de éxitos de taquilla que, aunque en este mundo cada vez más globalizado empiezan a no quedarse restringidos a sus respectivos territorios,…",https://www.xataka.com/streaming/quizas-no-conozcas-esta-mezcla-mad-max-cine-superheroes-uno-taquillazos-2024-esta-netflix,2025-02-16T15:00:29Z
Apple Account purchase migration tool now ‘works’ in the EU and UK,"Apple has updated its support document for the recently introduced purchase migration tool, removing the EU and UK from the availability exclusion. India is the only remaining region listed where the Apple Account purchase migration tool isn’t offered.



 mo…",https://9to5mac.com/2025/02/28/apple-account-purchase-migration-tool-now-works-in-the-eu-and-uk/,2025-02-28T16:38:57Z
New Delhi says it is looking into 'deeply troubling' information about USAID activities in India,"Indian authorities are looking into ""deeply troubling"" information about U.S. governmental activity in the country, New Delhi said on Friday, after President...",https://www.yahoo.com/news/delhi-says-looking-deeply-troubling-130546658.html,2025-02-21T13:05:46Z
Forgot to Pre-Order an iPhone 16e? Apple Store Pickup Available Today at Most Locations,"Apple's new entry-level iPhone 16e are now being delivered to customers worldwide following the pre-order period that began on Friday, February 21. For those who didn't pre-order or chose to wait, the devices are currently readily available, and select Apple …",https://www.macrumors.com/2025/02/28/iphone-16e-available-today-pickup/,2025-02-28T09:32:13Z
"Apple Intelligence Will Get an Adaptation for iPhones in China, Report Says","Apple's leaning on companies including Chinese tech giants Alibaba and Baidu to adapt its artificial intelligence system to meet regulatory requirements, according to Bloomberg.",https://www.cnet.com/tech/mobile/apple-intelligence-will-get-an-adaptation-for-iphones-in-china-report-says/,2025-02-14T17:02:00Z
'We quit our jobs and sold our house to travel the world with the kids',The Hutchinsons say selling their home and travelling the world with their daughters has saved them.,https://www.bbc.com/news/articles/c897j2jl5kxo,2025-02-16T06:13:35Z
"India home prices to climb faster than inflation this year, rents even more: Reuters poll",India's average home prices and rental costs are set to outpace consumer inflation this year according to a Reuters poll of housing experts who were split on...,https://sg.finance.yahoo.com/news/india-home-prices-climb-faster-021904524.html,2025-03-05T02:19:04Z
Adrien Brody gives partner Georgina Chapman's kids Oscars speech shoutout,Adrien Brody shared his gratitude in his Oscars acceptance speech after winning the best actor award for a second time.,https://abcnews.go.com/GMA/Culture/adrien-brody-partner-georgina-chapmans-kids-oscars-speech/story?id=119381289,2025-03-03T14:49:44Z
American Airlines flight from NYC to India diverted over threat: Here's what we know,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_45384567-9ed6-4041-9cdb-1246c95bdead,2025-02-24T13:48:18Z
Boeing signals more orders needed before setting up assembly line in India,,https://consent.yahoo.com/v2/collectConsent?sessionId=1_cc-session_30ad65b8-537a-4fbd-9991-ad628f7cc3fa,2025-02-10T08:55:47Z
Mapping India: How Google Designed a User-Centric Navigation Experience,"Google Maps in India is a great example of designing with real people in mind, tackling everything from landmark-based directions to language barriers and patchy internet. By listening to users and testing in the chaos of real-life streets, Google created a n…",https://webdesignerdepot.com/mapping-india-how-google-designed-a-user-centric-navigation-experience/,2025-02-14T13:09:00Z
My Cousin Traveled All the Way to India for This “Perfect” Flavor of Lay’s Potato Chips,"Plus, two more wildly popular flavors.
READ MORE...",https://www.thekitchn.com/lays-india-potato-chips-review-23710137,2025-02-14T15:30:00Z
Apple Now Lets You Move Digital Purchases From One Apple Account to Another,"If you have two Apple Accounts with multiple digital purchases between them, Apple now has a way for you to consolidate the accounts by migrating content from one account to another.





As noted by Stephen Hackett of 512 Pixels, Apple today published a supp…",https://www.macrumors.com/2025/02/11/apple-migrate-purchases-apple-account/,2025-02-11T23:56:10Z
Trump calls for 'reciprocal tariffs' on nations that levy tariffs on the US,"On Thursday, President Donald Trump called for ""reciprocal tariffs"" on nations that impose tariffs on the United States.",https://www.businessinsider.com/donald-trump-reciprocal-tariffs-nations-2025-2,2025-02-13T19:09:51Z
American Airlines flight escorted by fighter jets and diverted after security scare,An American Airlines flight from New York to India was escorted by fighter jets and forced to land in Rome after what a source says was a bomb threat. NBC...,https://www.yahoo.com/news/american-airlines-flight-escorted-fighter-004822569.html,2025-02-24T00:48:22Z
India Art Fair: Kunst aller Kasten,Auf der India Art Fair schöpfen Künstler aus dem ganzen kulturellen Reichtum Indiens  – und befragen seine politische Verfassung. So spiegelt die Messe aktuelle Befindlichkeiten und Konflikte im Land.,https://www.faz.net/aktuell/feuilleton/kunstmarkt/india-art-fair-2025-110297992.html,2025-02-15T14:09:07Z
Perforated Walls & Natural Materials Create a Sensory Connection In This Eco-Friendly Haven In India,"Perforated Walls & Natural Materials Create a Sensory Connection In This Eco-Friendly Haven In IndiaSituated in Thandarai, India, Vaazh House, crafted by Vy Architecture Studio, seamlessly blends cultural heritage with modern design to create a space that is …",https://www.yankodesign.com/2025/02/24/perforated-walls-natural-materials-create-a-sensory-connection-in-this-eco-friendly-haven-in-india/,2025-02-24T12:40:06Z
Illegal and unseen: Nine surprising facts about Indians in the US,Indians make up only a small share of the overall unauthorised migrant population in the US.,https://www.bbc.com/news/articles/c8r56vr40jvo,2025-02-17T02:07:46Z
Elon Musk blurs the line between his government and business roles,"The tech titan and President Trump say they will avoid any conflicts of interest, but it's difficult for the public to verify that.",https://www.npr.org/2025/02/22/nx-s1-5305682/elon-musk-doge-donald-trump-ethics,2025-02-22T11:00:00Z
India dismiss dangerous Head,Travis Head's innings is brought to an end on 39 as he skies a catch to Shubnam Gill off the bowling of Varun Chakravarthy in the ICC Champions Trophy semi-final in Dubai.,https://www.bbc.com/sport/cricket/videos/c778v8xvzz1o,2025-03-04T10:04:21Z
"Crackdown on Bangladesh protesters may be crime against humanity, UN says","Sheikh Hasina, deposed last year, is accused of putting down protests that left up to 1,400 people dead.",https://www.bbc.com/news/articles/cnvqle40183o,2025-02-12T10:00:48Z
Fish species thought to be extinct for 85 years rediscovered,Researchers have rediscovered a rare fish species presumed to be extinct after it was not seen for more than eight decades.  The last sighting of the Chel...,https://abcnews.go.com/International/researchers-rediscovered-elusive-fish-species-thought-extinct-85/story?id=118895751,2025-02-17T16:59:00Z
The world's No. 2 hospital is in Northeast Ohio. See the other area hospitals on the list,Newsweek ranked hospitals from 30 countries and Cleveland Clinic landed at No. 2. See who else from Ohio is in the top 250.,https://www.beaconjournal.com/story/news/local/2025/02/26/the-worlds-no-2-hospital-is-local-cleveland-clinic-and-university-hospitals-on-newsweek-list/80531227007/,2025-02-26T21:13:23Z
"Gold's lighting run rains on India's wedding season, China offers discounts","A stellar rally that has lifted global gold prices to all-time highs has cast a shadow on jewellery purchases for India's wedding season, while dealers in...",https://sg.finance.yahoo.com/news/golds-lighting-run-rains-indias-102504870.html,2025-02-13T10:25:04Z
